GRUPPE1	GRUPPE2	GRUPPE3	HERSTELLER	ARTIKEL_NR	HSTNUMMER	ARTIKEL1	ARTIKEL2	FVERSION	FSYSTEM	FSPRACHE	FFORMAT	FBUS	FGARANTIE	EVP	EK	AKTIONPR	AKTBIS	AKTION	VerfuegbarKZ	Vmenge	VDatum	VEta	Nachfolger	DATENBLATT1	BILD1	ERFDAT	EANCode	UPCCode	Hoehe	Breite	Laenge	Gewicht	Rang	Stck_Kart	Stck_Pal	Storno	ECLass	UNSPC	INTRASTAT	CatalogID	Auslieferungslager
Netzwerk & Kommunikation	Switch	Switch Hardware	Netgear	071Z025	FS116GE	Fast Ethernet Switch FS116GE	LED: LK/ACT/ Auto-MDIX/ Management: nein/ 10Base-T, 100Base-TX/ Geschwindigkeit: 100 MBit/sek., 10 MBit/sek./ Portanzahl: 16/ Gehäuseform: Desktop		NMS	E			360/24	81,29	52,00	0,00			B	0	30.1.11 01:10:36	4.2.11 00:00:00	 	http://www.ingrammicro.de/pdf/071Z025.pdf	http://www.ingrammicro.de/jpg/071Z025.jpg	10.7.00 00:00:00	0606449020670		0,11	0,35	0,17	1,25	35	9	84	Y	19030117	43222612	85176200	10161601	DE
Netzwerk & Kommunikation	Router	Router Hardware	Netgear	071Z136	RP614GR	Router xDSL /Cable WEB-Safe	4*10/100 MBit/s Ports/1 WAN Port   deutsches Handbuch/ DSL, LAN/ DHCP, Smart Wizard, Switch, Auto-MDIX/ VPN, NAT, URL-Filtering/ Geschwindigkeit: 10 MBit/sek., 100 MBit/sek./ Portanzahl: 4/ IPSec/ Protokolle: PPTP, RIP2/v2, RIP1/v1, PPPoE, TCP/IP		NMS	D			36	44,07	27,30	0,00			V	215	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/071Z136.pdf	http://www.ingrammicro.de/jpg/071Z136.jpg	30.8.02 00:00:00	0606449024609		0,12	0,22	0,17	0,60	21	12	96	Y	19030101	43222609	85176200	10161301	DE
Netzwerk & Kommunikation	Switch	Switch Hardware	Netgear	071Z184	JFS516GE	Fast Ethernet Switch JFS516	Uplink, Auto-MDIX/ Management: nein/ 10Base-T, 100Base-TX/ Geschwindigkeit: 100 MBit/sek., 10 MBit/sek./ Portanzahl: 16/ Gehäuseform: Rackmount		NMS	ML			360/24	75,86	50,70	0,00			B	0	30.1.11 01:10:36	4.2.11 00:00:00	 	http://www.ingrammicro.de/pdf/071Z184.pdf	http://www.ingrammicro.de/jpg/071Z184.jpg	19.12.02 00:00:00	0606449023800		0,11	0,38	0,25	2,05	161	6	48	Y	19030117	43222612	85176200	10161601	DE
Zubehör	Personal Computer	Arbeitsspeicher	Fujitsu Technology Solutions	07700Z2	S26361-F3377-L425	4GB DDR3-1333 RG ECC	F/ CELSIUS R570-2, R670-2		NMS					0,00	264,00	0,00			V	11	30.1.11 01:10:36		 	http://pdfs.icecat.biz/pdf/28883590-1043.pdf	http://images.icecat.biz/img/norm/high/4605648-5092.jpg	10.6.10 00:00:00	4049699272509		0,03	0,16	0,12	0,08	999	0	0	Y	19030308	32130000	84733020	10101502	DE
Zubehör	Personal Computer	Arbeitsspeicher	Fujitsu Technology Solutions	07701A0	S26361-F3377-L424	2GB DDR3-1333 RG ECC	F/ CELSIUS R570-2, R670-2		NMS					0,00	197,20	0,00			A	0	30.1.11 01:10:36		 	http://pdfs.icecat.biz/pdf/28883601-9040.pdf	http://images.icecat.biz/img/norm/high/4605636-7864.jpg	10.6.10 00:00:00	 		0	0	0	1,00	999	0	0	N	19030308	32130000	84733020	10101502	DE
Zubehör	Personal Computer	Arbeitsspeicher	Fujitsu Technology Solutions	07701A5	S26361-F3616-L100	CF 1 GB 80X	CF module IDE, 1 GB für Fujitus Futro S100, S450, S450-2, S550, S550-2		MSD					0,00	63,80	0,00			V	1	30.1.11 01:10:36		 			11.6.10 00:00:00	4049699336157		0,03	0,15	0,12	0,06	999	0	0	Y	19030308	32130000	84733020	10101502	DE
Zubehör	Server	Prozessoren (Intel - Six-Core)	Fujitsu Technology Solutions	07701C8	S26361-F4417-L280	XEON X5660 6C/12T 2.80G 12MB	Intel® Xeon® processor X5660 (6C/12T, 2.80 GHz, SLC: 4 x 256 KB, TLC: 12 MB, Turbo: 2/2/2/2/3/3, 6.4 GT/s, Mem bus: 1333 MHz, 95 W) inkl. Kühlkörper		XEON					0,00	2066,80	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5109907-2269.jpg	14.6.10 00:00:00	 		0	0	0	1,00	999	0	0	N	19030305	43201503	84733020	10102048	DE
Zubehör	Server	Prozessoren (Intel - Six-Core)	Fujitsu Technology Solutions	07701D3	S26361-F4417-L266	XEON X5650 6C/12T 2.66G 12MB	Intel® Xeon® processor X5650 (6C/12T, 2.66 GHz, SLC: 4 x 256 KB, TLC: 12 MB, Turbo: 2/2/2/2/3/3, 6.4 GT/s, Mem bus: 1333 MHz, 95 W) inkl. Kühlkörper		XEON					0,00	1697,60	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5109893-5176.jpg	14.6.10 00:00:00	 		0	0	0	1,00	999	0	0	N	19030305	43201503	84733020	10102048	DE
Zubehör	Server	Prozessoren (Intel - Quad-Core)	Fujitsu Technology Solutions	07701D4	S26361-F4419-L253	XEON E5630 4C/8T 2.53G 12MB	Intel® Xeon® processor E5630 (4C/8T, 2.53 GHz, SLC: 4 x 256 KB, TLC: 12 MB, Turbo: 1/1/2/2, 5.86 GT/s, Mem bus: 1066 MHz, 80 W) inkl. Kühlkörper		XEON					0,00	798,40	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5109887-2677.jpg	14.6.10 00:00:00	 		0	0	0	1,00	999	0	0	N	19030305	43201503	84733020	10102038	DE
Zubehör	Server	Prozessoren (Intel - Six-Core)	Fujitsu Technology Solutions	07701D6	S26361-F4417-L293	XEON X5670 6C/12T 2.93G 12MB	Intel® Xeon® processor X5670 (6C/12T, 2.93 GHz, SLC: 4 x 256 KB, TLC: 12 MB, Turbo: 2/2/2/2/3/3, 6.4 GT/s, Mem bus: 1333 MHz, 95 W) inkl. Kühlkörper		XEON					0,00	2435,90	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5109886-6792.jpg	14.6.10 00:00:00	 		0	0	0	1,00	999	0	0	N	19030305	43201503	84733020	10102048	DE
