GRUPPE1	GRUPPE2	GRUPPE3	HERSTELLER	ARTIKEL_NR	HSTNUMMER	ARTIKEL1	ARTIKEL2	FVERSION	FSYSTEM	FSPRACHE	FFORMAT	FBUS	FGARANTIE	EVP	EK	AKTIONPR	AKTBIS	AKTION	VerfuegbarKZ	Vmenge	VDatum	VEta	Nachfolger	DATENBLATT1	BILD1	ERFDAT	EANCode	UPCCode	Hoehe	Breite	Laenge	Gewicht	Rang	Stck_Kart	Stck_Pal	Storno	ECLass	UNSPC	INTRASTAT	CatalogID	Auslieferungslager
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180009	45010	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf transparent		MSD	D/E			0	0,00	12,20	0,00			V	54	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180009.pdf	http://www.ingrammicro.de/jpg/0180009.jpg	3.5.07 00:00:00	5411313450102		0,02	0,09	0,07	0,03	124	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180014	40910	DYMO Label Cassette 9mm x 7m	Schriftband Kassette Dymo für D1, 9 mm  x  7 m, schwarz auf transparent		NMS	D/E			0	0,00	11,80	0,00			V	6	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180014.pdf	http://www.ingrammicro.de/jpg/0180014.jpg	3.5.07 00:00:00	5411313409100		0,02	0,09	0,07	0,03	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180017	45013	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf weiß		MSD	D			0	0,00	12,20	0,00			V	108	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180017.pdf	http://www.ingrammicro.de/jpg/0180017.jpg	3.5.07 00:00:00	5411313450133		0,02	0,09	0,07	0,03	24	200	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180018	45018	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf gelb		NMS	D			0	0,00	12,20	0,00			V	6	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180018.pdf	http://www.ingrammicro.de/jpg/0180018.jpg	3.5.07 00:00:00	5411313450188		0,02	0,09	0,07	0,03	159	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180534	99010	DYMO LW Labels Address/Shipp.	LabelWriter Dymo Adress Etiketten, 28 mm x  89 mm, weiß, permanent klebend, 2 x 130 Etiketten, für LW 310, 320, 330		PC	D/E			0	0,00	10,80	0,00			V	85	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180534.pdf	http://www.ingrammicro.de/jpg/0180534.jpg	3.5.07 00:00:00	5411313990103		0,06	0,07	0,06	0,13	14	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180535	99011	DYMO LW yellow pink blue	LabelWriter Dymo farbiges Etiketten Sortiment, 28 mm x  89 mm, gelb, pink, blau, grün, permanent klebend, je 130 Etiketten für LW 310, 320, 330		MSD	D				0,00	33,70	0,00			V	2	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180535.pdf	http://www.ingrammicro.de/jpg/0180535.jpg	3.5.07 00:00:00	5411313990110		0,06	0,12	0,07	0,28	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180536	99012	DYMO LW Labels Address/Shipp.	LabelWriter Dymo Adress Etiketten, 36 mm x  89 mm, weiß, permanent klebend, 2 x 260 Etiketten, für LW 310, 320, 330		PC	D			0	0,00	20,10	0,00			V	173	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180536.pdf	http://www.ingrammicro.de/jpg/0180536.jpg	3.5.07 00:00:00	5411313990127		0,08	0,1	0,08	0,31	3	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180537	99013	DYMO LW large adress labels	LabelWriter Dymo Address Etiketten groß, 36 mm x  98 mm, transparent, permanent klebend, 260 Etiketten, für LW 310, 320, 330		MSD	D				0,00	22,90	0,00			V	14	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180537.pdf	http://www.ingrammicro.de/jpg/0180537.jpg	3.5.07 00:00:00	5411313990134		0,08	0,1	0,1	0,19	68	6	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180538	99014	DYMO LW Labels Address/Shipp.	LabelWriter Dymo Versand Etiketten, 54 mm x  101 mm, weiß, permanent klebend, 220 Etiketten, für LW 320, 330		PC	D/E			0	0,00	19,70	0,00			V	110	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180538.pdf	http://www.ingrammicro.de/jpg/0180538.jpg	3.5.07 00:00:00	5411313990141		0,07	0,08	0,08	0,23	11	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180540	99017	DYMO LW Labels für Suspension	LabelWriter Dymo  Etiketten für Hängeablagen, 12 mm x 50 mm, weiß, permanent klebend, 220 Etiketten, für LW 310, 320, 330		MSD	D			0	0,00	10,00	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180540.pdf	http://www.ingrammicro.de/jpg/0180540.jpg	3.5.07 00:00:00	5411313990172		0,06	0,07	0,06	0,06	123	60	67	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180541	99018	DYMO LW Labels für 52mm Folder	LabelWriter Dymo Etiketten für Ordner mit schmalem Rücken (52 mm), weiß, permanent klebend, 110 Etiketten, für LW 310, 320, 330		MSD	D				0,00	20,10	0,00			V	1	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180541.pdf	http://www.ingrammicro.de/jpg/0180541.jpg	3.5.07 00:00:00	5411313990189		0,07	0,08	0,08	0,16	138	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180542	99019	DYMO LW Labels für 80mm Folder	LabelWriter Dymo Etiketten für Ordner mit breitem Rücken, weiß, permanent klebend, 110 Etiketten, für LW 320 und 330		MSD	D/E				0,00	22,50	0,00			V	18	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180542.pdf	http://www.ingrammicro.de/jpg/0180542.jpg	3.5.07 00:00:00	5411313990196		0,08	0,1	0,08	0,24	88	60	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180602	99015	DYMO LW diskette/name labels	LabelWriter Dymo Etiketten für Disketten / Namen, 54 x  70 mm, weiß, permanent klebend, 320 Etiketten, für LW 320, 330		NMS	D				0,00	20,50	0,00			V	9	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180602.pdf	http://www.ingrammicro.de/jpg/0180602.jpg	3.5.07 00:00:00	5411313990158		0,07	0,08	0,08	0,24	139	6	18	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180621	40913	DYMO Label Cassette 9mm x 7mm	Schriftband Kassette Dymo für D1, 9 mm  x  7 m, schwarz auf weiß		MSD	D/E			00	0,00	11,80	0,00			V	64	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180621.pdf	http://www.ingrammicro.de/jpg/0180621.jpg	3.5.07 00:00:00	5411313409131		0,02	0,09	0,07	0,03	38	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180622	40918	DYMO Label Cassette 9mm x 7m	Schriftband Kassette für D1, 9 mm  x  7 m, schwarz auf gelb		MSD	D				0,00	11,80	0,00			V	5	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180622.pdf	http://www.ingrammicro.de/jpg/0180622.jpg	3.5.07 00:00:00	5411313409186		0,02	0,09	0,07	0,03	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180628	45017	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf rot		MSD	D				0,00	12,20	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180628.pdf	http://www.ingrammicro.de/jpg/0180628.jpg	3.5.07 00:00:00	5411313450171		0,02	0,09	0,07	0,03	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180630	45800	DYMO Label Cassette 19mm x 7m	Schriftband Kassette Dymo für D1, 19 mm  x  7 m, schwarz auf transparent		MSD	D				0,00	15,30	0,00			V	9	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180630.pdf	http://www.ingrammicro.de/jpg/0180630.jpg	3.5.07 00:00:00	5411313452106		0,03	0,09	0,07	0,05	999	50	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180631	45803	DYMO Label Cassette 19mm x 7m	Schriftband Kassette Dymo für D1, 19 mm  x  7 m, schwarz auf weiß		MSD	D/E			0	0,00	15,30	0,00			V	41	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180631.pdf	http://www.ingrammicro.de/jpg/0180631.jpg	3.5.07 00:00:00	5411313452137		0,03	0,09	0,07	0,10	66	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180702	53718	DYMO Label Cassette 24mm x 7m	Dymo Label Cassette 24mm x 7m, black on yellow D1 Tape		MSD	D				0,00	16,70	0,00			V	7	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180702.pdf	http://www.ingrammicro.de/jpg/0180702.jpg	3.5.07 00:00:00	5411313537186		0,03	0,09	0,07	0,06	142	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180704	40917	DYMO Label Cassette 9mm x 7m	Dymo Label Cassette 9mm x 7m, black on red D1 Tape		MSD	D				0,00	11,40	0,00			N	0	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180704.pdf	http://www.ingrammicro.de/jpg/0180704.jpg	3.5.07 00:00:00	5411313409179		0,02	0,09	0,07	0,03	999	5	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z017	40076	DYMO Adapter für D1 Systems	Dymo Netzadapter für LabelMANAGER 150, 350, 450/ LabelPOINT 250 und 350		NMS	D			0	0,00	21,50	0,00			N	0	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z017.pdf	http://www.ingrammicro.de/jpg/018Z017.jpg	3.5.07 00:00:00	5411313400763		0,07	0,11	0,08	0,19	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z022	11352	DYMO LW Labels Return Address	LabelWriter Dymo Rücksendeadress Etiketten, 25 mm x 54 mm, weiß, permanent klebend, 500 Etiketten		MSD	D/E			0	0,00	10,00	0,00			V	131	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z022.pdf	http://www.ingrammicro.de/jpg/018z022.jpg	3.5.07 00:00:00	5411313113526		0,04	0,09	0,09	0,15	8	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z023	11354	DYMO LW Labels Small	LabelWriter Dymo Vielzweck Etiketten, 57 mm x 32 mm, weiß, wiederablösbar, 1000 Etiketten		MSD	D/E			00	0,00	18,60	0,00			V	287	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z023.pdf	http://www.ingrammicro.de/jpg/018Z023.jpg	3.5.07 00:00:00	5411313113540		0,07	0,1	0,09	0,35	7	60	180	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z024	11808	DYMO LW Labels Starter KIT	LabelWriter Dymo Etiketten Starterpack, 2 x Standard Adress-Etiketten (99010), 1 x Versand-Etiketten (99014), 1 x Ordner-Etiketten (99019), 2 x große Adress-Etiketten (99012), 1 x Hängeablage-Etiketten (99017), 1 x Extra Spule		MSD	D/E			0	0,00	73,90	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z024.pdf	http://www.ingrammicro.de/jpg/018Z024.jpg	3.5.07 00:00:00	5411313118088		0,1	0,25	0,17	1,15	143	10	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z032	14681	DYMO LW CD/DVD Labels	LabelWriter Dymo CD / DVD Etiketten, Durchmesser 57 mm, weiß, permanent klebend, 160 Etiketten, für LW 320 und 330		MSD	D/E			0	0,00	10,70	0,00			V	2	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z032.pdf	http://www.ingrammicro.de/jpg/018z032.jpg	3.5.07 00:00:00	5411313146814		0,06	0,1	0,07	0,11	99	6	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z033	14682	DYMO LW CD/DVD Applikator	LabelWriter Dymo CD / DVD Applikator		MSD	D/E			0	0,00	8,00	0,00			N	0	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z033.pdf	http://www.ingrammicro.de/jpg/018z033.jpg	3.5.07 00:00:00	5411313146821		0,04	0,14	0,13	0,10	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z037	11353	DYMO LW Labels Small	LabelWriter Dymo Vielzweck Etiketten, 12 mm x 24 mm (je 2 hoch), weiß, wiederablösbar, 1000 Etiketten, für LW 310, 320, 330		NMS	D			00	0,00	8,00	0,00			V	44	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z037.pdf	http://www.ingrammicro.de/jpg/018Z037.jpg	3.5.07 00:00:00	5411313113533		0,04	0,1	0,07	0,08	76	60	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z040	11355	DYMO LW multi-purpose labels	LabelWriter Dymo Vielzweck Etiketten, 19 mm x  51 mm, weiß, wiederablösbar, 500 Etiketten, für LW 310, 320, 330		MSD	D				0,00	8,60	0,00			V	79	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z040.pdf	http://www.ingrammicro.de/jpg/018Z040.jpg	3.5.07 00:00:00	5411313113557		0,04	0,1	0,09	0,14	34	60	120	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z041	11356	DYMO LW name badge	LabelWriter Dymo blanko Namensschilder, 41 mm x  89 mm, weiß, wiederablösbar, 300 Etiketten, für LW 310, 320, 330		MSD	D				0,00	14,20	0,00			V	7	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z041.pdf	http://www.ingrammicro.de/jpg/018Z041.jpg	3.5.07 00:00:00	5411313113564		0,08	0,1	0,1	0,21	75	60	60	Y	24321103	55121612	39199000	10090101	DE
Drucker, Kopierer & Scanner	Thermodrucker	Etikettendrucker	Dymo	018Z046	17116	DYMO LabelMANAGER 450D	LabelManager Dymo 450D QWERTZ D1, 6mm / 9 mm / 12mm / 19mm / 24mm/ 5 verschiedene Schriftgrößen/ 13 unterschiedliche Schriftstile/ Automatisches Bandabschneiden/ Windows 98/ME/2000/XP, USB-Anschluss/ Sechs verschiedene Barcodes		MSD	D				0,00	133,60	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z046.pdf	http://www.ingrammicro.de/jpg/018Z046.jpg	3.5.07 00:00:00	5411313171168		0,12	0,31	0,26	1,62	999	6	12	Y	24321103	43212113	84433210	10050601	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z054	53710	DYMO Label Cassette 24mm x 7m	Dymo Label Cassette 24mm x 7m, black on transp. D1 Tape		MSD	D				0,00	16,70	0,00			V	3	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z054.pdf	http://www.ingrammicro.de/jpg/018Z054.jpg	3.5.07 00:00:00	5411313537100		0,04	0,09	0,07	0,06	140	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	018Z055	53713	DYMO Label Cassette 24mm x 7m	Dymo Label Cassette 24mm x 7m, black on white D1 Tape		NMS	D				0,00	16,70	0,00			V	100	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z055.pdf	http://www.ingrammicro.de/jpg/018Z055.jpg	3.5.07 00:00:00	5411313537131		0,03	0,09	0,07	0,06	98	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Toner & Bildtrommeln	Original	Xerox	0420855	016193200	Extended Maintenance Kit	Extended Maintenance KIT, für Phaser 860, Reichweite ca. 40.000 Seiten       NS		MSD	ML			24	0,00	218,70	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0420855.pdf	http://www.ingrammicro.de/jpg/0420855.jpg	9.4.03 00:00:00	0042215481892		0,1	0,27	0,15	0,62	999	6	12	Y	24200201	44103103	84439990	10090702	DE
Verbrauchsmaterial	Solid Ink	Colorstix	Xerox	0420926	016204000	Colorstix 5 Black 7000PAGE	5 ColorStix,  Schwarz (7.000 Seiten), für PHASER 8200/		MSD	D				0,00	104,90	0,00			V	9	30.1.11 01:10:36		 		http://www.ingrammicro.de/jpg/0420926.jpg	14.12.06 00:00:00	0042215485944		0,06	0,27	0,1	0,22	23	0	22	Y	24200104	44103106	32159000	10090501	DE
Verbrauchsmaterial	Solid Ink	Colorstix	Xerox	0420931	016204500	Colorstix 5 Cyan 7000P	COLORSTIX 5 CYAN 7000P, für  PHASER 8200/		MSD	D				189,00	188,90	0,00			V	2	30.1.11 01:10:36		 		http://www.ingrammicro.de/jpg/0420931.jpg	23.1.07 00:00:00	0042215485994		0,05	0,27	0,09	0,23	999	22	44	Y	24200104	44103106	32159000	10090501	DE
Verbrauchsmaterial	Solid Ink	Colorstix	Xerox	0420932	016204600	Colorstix 5 Magenta 7000P	COLORSTIX 5 MAGENTA 7000P, für  PHASER 8200/		MSD	D				0,00	188,90	0,00			V	3	30.1.11 01:10:36		 		http://www.ingrammicro.de/jpg/0420932.jpg	14.12.06 00:00:00	0042215486002		0,05	0,27	0,09	0,23	999	22	0	Y	24200104	44103106	32159000	10090501	DE
Verbrauchsmaterial	Toner & Bildtrommeln	Original	Xerox	042Z248	016189100	Waste Toner Cartridge	für Phaser 7700-Serie/ Reichweite: 6000 Seiten/ Gewicht: 725,7 g		NMS	ML			24	0,00	25,30	0,00			V	3	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/042Z248.pdf	http://www.ingrammicro.de/jpg/042Z248.jpg	29.9.05 00:00:00	0042215483209		0,12	0,55	0,18	0,72	866	6	6	Y	24200201	44103103	84439990	10090702	DE
Eingabegeräte	Mäuse	USB	Lenovo	0584MQ6	06P4069	IBM OPTICAL WHEEL MOUSE USB	.		NMS				0	15,00	10,50	0,00			N	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/279860-331.jpg	20.6.03 00:00:00	5019170949106		0,06	0,16	0,15	0,22	69	0	0	Y	19020401	43211708		10150101	CH
Zubehör	Notebooks	Mäuse & Tastaturen	Lenovo	05859R5	73P2698	IBM TRACKPOINT CAP COLLECTION	.		NMS				0	18,00	21,10	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/337781-2605.jpg	28.10.09 00:00:00	5050689099685		0,01	0,15	0,11	0,02	14	0	0	N	19020401	43211700	84716070	10101429	CH
Zubehör	Notebooks	Schutz & Sicherheit	Lenovo	0585EJ5	73P2582	KENSINGTON MICROSAVER	SECURITY CABLE LOCK FROM IBM		MSD				0	48,00	38,80	0,00			V	10	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/73220-9712.jpg	5.8.08 00:00:00	5050689074897		0,05	0,2	0,14	0,34	7	0	0	Y	19039190	32130000	83014090	10101431	CH
Zubehör	Notebooks	Mäuse & Tastaturen	Lenovo	0585HM2	31P7410	IBM OPT3 WHMOUSE 800DPI	PS/2 und USB                       ML		NMS				0	23,00	20,10	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/280429-9256.jpg	5.8.08 00:00:00	5019170787807		0,05	0,15	0,15	0,20	999	0	0	N	19020401	43211700	84716070	10101429	CH
Zubehör	Personal Computer	Mäuse & Tastaturen	Lenovo	05865W8	73P2651	BUSINESS BLACK KEYBOARD USB	ENHANCED PERFORMANCE             SF		NMS	SF			0	46,00	32,50	0,00			B	0	30.1.11 01:10:36	11.2.11 00:00:00	 		http://images.icecat.biz/img/norm/high/112322.jpg	7.10.08 00:00:00	5050689196711		0,06	0,52	0,23	1,54	11	0	0	Y	19020400	43211700	84716060	10101521	CH
Zubehör	Personal Computer	Mäuse & Tastaturen	Lenovo	0586BK2	73P2656	BUSINESS BLACK KEYBOARD USB	ENHANCED PERFORMANCE             US		PC	USE			6	0,00	32,60	0,00			N	0	30.1.11 01:10:36		 			6.7.10 00:00:00	5050689196766		0	0	0	1,54	999	0	0	Y	19020400	43211700		10101521	CH
Zubehör	Personal Computer	Arbeitsspeicher	Lenovo	0588GX4	73P4984	1GB DDR SDRAM UDIMM	PC2-5300 CL5		MSD				0	0,00	38,10	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/323973-1011.jpg	5.8.08 00:00:00	5050689706224		0,03	0,18	0,06	0,06	999	0	0	N	19030308	32130000	84733020	10101502	CH
Zubehör	Personal Computer	Mäuse & Tastaturen	Lenovo	058XS81	31P7405	OPTICAL 3-BUTTON SCROLL MOUSE	USB/PS/2 800DPI F/NETVISTA		NMS				6	26,02	24,10	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/280135-2932.jpg	4.9.02 00:00:00	5019170787791		0	0	0	0,24	999	0	0	N	19020400	43211700	84716060	10101521	CH
Zubehör	Netzwerkkommunikation	Module & Erweiterungen	Netgear	0710116	AGM721F	1000Base-SX Gbic Fiber Modul	für FSM726, FSM750, FSM726S, FSM750S, GMS721, GSM721F		MSD	E			60	306,70	189,80	0,00			V	2	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710116.pdf	http://www.ingrammicro.de/jpg/0710116.jpg	7.5.02 00:00:00	0606449023336		0,05	0,18	0,14	0,13	35	0	0	Y	19039001	43222600	84733020	10101306	DE
Netzwerk & Kommunikation	Router	Router Hardware	Netgear	0710117	FVS318GE	Prosafe VPN Firewall Router	Cable/DSL 8*10/100 MBit/s Ports Autosensing, 1 Wan Port/ DSL/ Auto-MDIX, DHCP, Smart Wizard/ NAT, 3DES, AES, DES, Firewall, URL-Filtering, VPN/ 10Base-T/ Geschwindigkeit: 10 MBit/sek., 100 MBit/sek./ Portanzahl: 8/ 256bit WEP, IPSec/ Protokolle: TFTP/		NMS	E			360/24	198,97	125,10	0,00			V	22	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710117.pdf	http://www.ingrammicro.de/jpg/0710117.jpg	5.6.02 00:00:00	0606449023404		0,11	0,3	0,26	1,72	50	6	48	Y	19030101	43222609	85176200	10161301	DE
Netzwerk & Kommunikation	Switch	Switch Hardware	Netgear	0710154	GS108GE	Gigabit Kupfer Switch GS108	LED: Power, link status/speed/ Auto-MDIX/ 1000Base-T/ Geschwindigkeit: 1000 MBit/sek., 100 MBit/sek., 10 MBit/sek./ Portanzahl: 8/ Gehäuseform: Desktop		NMS	E			360/24	75,74	48,60	0,00			B	0	30.1.11 01:10:36	4.2.11 00:00:00	 	http://www.ingrammicro.de/pdf/0710154.pdf	http://www.ingrammicro.de/jpg/0710154.jpg	15.10.02 00:00:00	0606449025187		0,11	0,19	0,13	0,84	2	12	24	Y	19030117	43222612	85176200	10161601	DE
Zubehör	Netzwerkkommunikation	Antennen	Netgear	0710280	ANT24O5	5DBI OMNI-Direct Antenna	5DBI OMNI-Direct Antenna 802.11b/802.11g./ 		NMS	ML			24	37,17	25,10	0,00			V	19	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710280.pdf	http://www.ingrammicro.de/jpg/0710280.jpg	27.6.03 00:00:00	0606449028362		0,07	0,22	0,17	0,28	18	1	0	Y	19039001	43222600	85177011	10101313	DE
Zubehör	Netzwerkkommunikation	Antennen	Netgear	0710284	ANT24D18	14DBI Patch Panel Antenna	14DBI Patch Panel Antenn 802.11b/802.11g./ 		NMS	ML			24	410,05	253,70	0,00			V	2	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710284.pdf	http://www.ingrammicro.de/jpg/0710284.jpg	27.6.03 00:00:00	0606449028355		0,06	0,42	0,28	2,04	999	10	10	Y	19039001	43222600	85177011	10101313	DE
Zubehör	Netzwerkkommunikation	Antennen	Netgear	0710307	ACC-10314-01	Low-Loss Antennen Kabel	Low-Loss Antenna Cable 1,5m with 2 SMA REV Connectors/ 		MSD	ML			24	36,46	22,50	0,00			B	0	30.1.11 01:10:36	14.4.11 00:00:00	 	http://www.ingrammicro.de/pdf/0710307.pdf	http://www.ingrammicro.de/jpg/0710307.jpg	13.8.03 00:00:00	0606449028270		0,01	0,21	0,18	0,08	999	25	0	Y	19039001	43222600	85177011	10101313	DE
Zubehör	Netzwerkkommunikation	Antennen	Netgear	0710309	ACC-1031404	LoW-LOSS Antenna Cable	Low-Loss Antenna Cable  10.0m with 2 SMA REV CONNECTORS/ 2.4 GHz		MSD	ML			24	166,50	102,50	0,00			B	0	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710309.pdf	http://www.ingrammicro.de/jpg/0710309.jpg	13.8.03 00:00:00	0606449028300		0,03	0,26	0,24	0,34	999	10	0	Y	19039001	43222600	85177011	10101313	DE
Zubehör	Netzwerkkommunikation	Antennen	Netgear	0710310	ACC-1031403	Low-Loss Antennen Kabel	Low-Loss Antenna Cable  5.0m with 2 SMA REV Connectors. 5m, 3,7dB, 225g/		MSD	ML			24	91,79	56,50	0,00			B	0	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710310.pdf	http://www.ingrammicro.de/jpg/0710310.jpg	13.8.03 00:00:00	0606449028294		0,03	0,29	0,24	0,19	999	0	0	Y	19039001	43222600	85177011	10101313	DE
Zubehör	Netzwerkkommunikation	Module & Erweiterungen	Netgear	0710317	AGM731F	1000Base-SX SFP GBIC Fiber	Modul für GSM7312, GSM7324/GSM7224/ GS724T, GS748T, FSM7326P		NMS	E			60	331,31	205,10	0,00			V	94	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0710317.pdf	http://www.ingrammicro.de/jpg/0710317.jpg	28.9.03 00:00:00	0606449029734		0,05	0,18	0,13	0,11	2	24	72	Y	19039001	43222600	84733020	10101306	DE
