Artikelnummer;Bezeichnung;;;;Artikelkategorie;Produktgruppe;EAN Code;Bruttogewicht;Bestand;Hersteller;HerstellerNr;NextDeliveryDate;jET Link;jET DataSheet
24648;USB Memory SuperTalent Eco CTS 4GB waterresistant White,USB 2.0, 30MB/s (200X),44x21x6mm, ca. 5g;;;;SDRAM,DDRAM,USB-Sticks;USB Memory Sticks;8.78294E+11;0.017;1;SuperTalent;STU4GTSW;;http://www.jet.ch/product_info.php?products_id=24648;
24649;"Barebone NB W251HTQ 15.6"" HD+ 1600 x 900, DVD-RW Bluetooth3.0, 1.3M WCam, Wireless LAN, Keyboard,3G";;;;Notebooks,PCMCIA Karten,...;NB Barebones;;3.9;15;;;;;
24650;"Barebone NB P170EM 17.3"" 1920x1080, GTX 675M 2MB DVD-RW, WLAN, BT, 2M Webcam, Fingerprint, K/B";;;;Notebooks,PCMCIA Karten,...;NB Barebones;;6.88;6;;;;;
24652;TV Tuner pctv nanoStick solo 73eSE USB ext. Antenne;;;;Soundk.,Speaker,Digicams,USB;TV Karten;7.85428E+11;0.199;5;Hauppauge;23103;;http://www.jet.ch/product_info.php?products_id=24652;
24653;Cooler Arctic Freezeri30 Socket 2011, 450-1400RPM 98mm Höhe, 905 Gramm, Sockel 2011, 1156, 1155;;;;Prozessoren und Zubehör;Kühler, Wärmeleitpaste,...;;0.905;0;Intel;UCACO-FI30001-GB;;;
24655;Battery Smart Li-Ion for B51x0M, W251, B71x 11.1V, 5600mAh, 62.16Wh;;;;Notebooks,PCMCIA Karten,...;NB Batterien, Akkus;;0.348;4;jET Schweiz IT AG;;;;
24656;Cable DVI-D - DVI-D ST - ST 10.0m dual link ;;;;CRT Monitore,TFTMonitore;Monitorzubehör, Ständer,...;7.61199E+12;1.03;0;Rotronic;11.04.5595;;http://www.jet.ch/product_info.php?products_id=24656;
24657;MB ASRock P67Extreme6, ATX, GLAN, RAID Sockel1155,4xDDR3,5xPCI-E, 2xPCI, USB3.0,S-ATA6;;;;Mainboards;Intel Sockel 1155;4.71114E+12;2;0;Asrock;P67EXTREME6;08.05.2012;;
24658;LCD Hinge left for W251HUQ ;;;;Notebooks,PCMCIA Karten,...;NB Mainboards, Ersatzteile,...;;0.17;0;;;;;
24659;LCD Hinge right for W251HUQ ;;;;Notebooks,PCMCIA Karten,...;NB Mainboards, Ersatzteile,...;;0.17;0;;;;;
24660;"#Steckschlüsselsatz 1/2"" + 1/4"", 94-teilig Gold Color coated, BGS";;;;Trading-Artikel;Aktionsartikel;4.02695E+12;6.08;0;;WV_2293;;;
24661;Software Microsoft SQL Server 2008 Standard Ed. R2 32bit / 64bit, DE, Vollversion, 10 Clients,DVD;;;;Software;Betriebssysteme, Office;;0.126;0;Microsoft;228-09214;;;
