GRUPPE1	GRUPPE2	GRUPPE3	HERSTELLER	ARTIKEL_NR	HSTNUMMER	ARTIKEL1	ARTIKEL2	FVERSION	FSYSTEM	FSPRACHE	FFORMAT	FBUS	FGARANTIE	EVP	EK	AKTIONPR	AKTBIS	AKTION	VerfuegbarKZ	Vmenge	VDatum	VEta	Nachfolger	DATENBLATT1	BILD1	ERFDAT	EANCode	UPCCode	Hoehe	Breite	Laenge	Gewicht	Rang	Stck_Kart	Stck_Pal	Storno	ECLass	UNSPC	INTRASTAT	CatalogID	Auslieferungslager
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180009	45010	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf transparent		MSD	D/E			0	0,00	12,20	0,00			V	54	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180009.pdf	http://www.ingrammicro.de/jpg/0180009.jpg	3.5.07 00:00:00	5411313450102		0,02	0,09	0,07	0,03	124	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180014	40910	DYMO Label Cassette 9mm x 7m	Schriftband Kassette Dymo für D1, 9 mm  x  7 m, schwarz auf transparent		NMS	D/E			0	0,00	11,80	0,00			V	6	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180014.pdf	http://www.ingrammicro.de/jpg/0180014.jpg	3.5.07 00:00:00	5411313409100		0,02	0,09	0,07	0,03	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180017	45013	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf weiß		MSD	D			0	0,00	12,20	0,00			V	108	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180017.pdf	http://www.ingrammicro.de/jpg/0180017.jpg	3.5.07 00:00:00	5411313450133		0,02	0,09	0,07	0,03	24	200	0	Y	24321103	55121612	39199000	10090101	DE
Drucker, Kopierer & Scanner	Thermodrucker	Etikettendrucker	Dymo	018Z046	17116	DYMO LabelMANAGER 450D	LabelManager Dymo 450D QWERTZ D1, 6mm / 9 mm / 12mm / 19mm / 24mm/ 5 verschiedene Schriftgrößen/ 13 unterschiedliche Schriftstile/ Automatisches Bandabschneiden/ Windows 98/ME/2000/XP, USB-Anschluss/ Sechs verschiedene Barcodes		MSD	D				0,00	133,60	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/018Z046.pdf	http://www.ingrammicro.de/jpg/018Z046.jpg	3.5.07 00:00:00	5411313171168		0,12	0,31	0,26	1,62	999	6	12	Y	24321103	43212113	84433210	10050601	DE
