Artikelnummer 2 Artikelnummer Bezeichung  Bezeichung 2  Lagerbestand  Gewicht Preis (inkl. MWSt)  Preis (exkl. MWSt)  WWW-Link  Webtext Webtext 2 Herstellernummer  Hersteller  MWST Satz Endkundenpreis  Garantie (Monate) Erfassungsdatum Kategorie 1 Kategorie 2 Kategorie 3 Kategorie EAN-Code  Lieferdatum Ausverkaufsartikel  Discountpreis
1227  DISK VER 1.44MB 10ER COLOUR Disketten Verbatim 3 1/2' 1.44 MB   formatiert, 10er Pack 106 0.26  5.85  5.44  http://www.verbatim.de/de_7/product_mf2-hd-datalifecolours-10pk-pb_157.html Verbatim Disketten 3.5", 1.44 MB, formatiert, 10er Pack, farbig   45215 Verbatim  7.6 9.9 12  11.06.10  PCs und Komponenten Drives und Medien Diskettenlaufwerke  Speichermedien  4902580320744 sofort  Nein  7.1
1510  KA 230 EQ C13-C14 01.8M Monitor Verlängerungs-Netzkabel 220 V Kaltgerätestecker für Netzteilanschluss 598 0.18  4.45  4.14  http://www.equip-info.de/german/index.php?main=0&prod=989&article=112100&suche=112100 Kaltgeräteverlängerungskabel, Stecker-Buchse, C13-C14, 3polig 230V, schwarz, 1.8 Meter    112100  equip 7.6 12.9  24  03.10.06  Heim/Hobby/Freizeit Strom/Licht 230 V Kabel/Steckerleisten  Kabel, Adapter, Zubehör 7611990121052 sofort  Nein  6.55
1841  NWKBX EQ SW C5E F/UTP 05M 26  equip Crossoverkabel: F/UTP, 05m, schwarz Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung 58  0.26  8.55  7.95  http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=722 equip Crossoverkabel: F/UTP, 05m, schwarz, Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung  Pinbelegung: 1-3/2-6, 3-1/6-2, 4-7/5-8, 7-4/8-5, Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC 205914  equip 7.6 26.9  24  26.06.06  Netzwerk/Server Netzwerkkabel/-Zubehör  Cat.5/5e Patchkabel Kabel, Adapter, Zubehör 4015867213742 sofort  Nein  12.9
1847  NWKB EQ GR C5E F/UTP 05M 26 equip Patchkabel: F/UTP, 05m, grau  Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung 2009  0.18  7.6 7.06  http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719 equip Patchkabel: F/UTP, 05m, grau, Cat.5e, AWG26, 1Gbps  Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC  205414  equip 7.6 22.9  24  26.06.06  Netzwerk/Server Netzwerkkabel/-Zubehör  Cat.5/5e Patchkabel Kabel, Adapter, Zubehör 4015867211991 sofort  Nein  11.2
2180  NOZ TA TG CN01  Targus Notebooktasche 15.6" aussen:40x33x10cm, schwarz  86  1.07  31  28.81 http://www.targus.com/de/product_details.asp?sku=CN01 Targus Tragetasche aus Nylon für alle Modelle bis 15.6", CN01 Innenmasse: 39 x 5.4 x 28 cm  CN01  Targus  7.6 42  120 23.05.07  Büromaterial/-bedarf  Taschen/Koffer/Rucksack für Notebooks Notebook Zubehör  5024442233500 sofort  Nein  35.5
2193  KA USB 3.0M A-B USB-Kabel 3.0m A-B,USB 1.1 + 2.0 tauglich doppelt geschirmt, beige  961 0.11  6.25  5.81  http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128211 USB-Kabel 3.0m A-B, USB 1.1 + 2.0 tauglich, doppelt geschirmt, beige    128211  equip 7.6 18.9  24  13.06.06  PCs und Komponenten Kabel/Adapter Computerkabel Kabel, Adapter, Zubehör 4015867586785 sofort  Nein  9.25
2353  ZTI HP C4843A Tinte HP C4843A Nr. 10, magenta, 28ml 2 0.08  37.6  34.94 http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html Tinte HP C4843A Nr. 10, magenta 28ml, Inkjet 200C, 2000C/CN, 2500C/CM/CN, Designjet Color Pro Cad/GA  1750Seiten@5%Deckung  C4843AE HP  7.6 59  12  08.05.06  Büromaterial/-bedarf  Drucker/Papier/Folien Drucker Verbrauchsmat.  Tinte   sofort  Nein  40.05
2379  ZTO HP C4129X Toner C4129X HP-Laserjet 5000/5100  Nr. 29X, 10'000 Seiten @5% Deckung  8 2.59  177.05  164.54  http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html Toner HP C4129X / Nr. 29X schwarz, 10'000 Seiten, zu Laserjet 5000/5100   C4129X  HP  7.6 219 12  07.07.06  Büromaterial/-bedarf  Drucker/Papier/Folien Drucker Verbrauchsmat.  Toner   sofort  Nein  182.75
3220  NWM MINIVIGOR128 USB  DrayTeK MiniVigor 128: USB ISDN-Adapter Windows + MAC 14  0.36  39.2  36.43 http://www.draytek.de/Produkt_miniVigor128.htm  DrayTec MiniVigor 128: ISDN-Adapter, Windows XP/Vista & MAC-OS bis 10.6 Treiber von MAC OS 10.5.3 sind 10.6 kompatibel. MiniVigor128  Draytek 7.6 54  36  17.08.04  Netzwerk/Server LAN Modem 56K/ISDN  Modem/Router/Firewall 4719853552098 sofort  Nein  43.9
4264  ZTI EP T032140  Tinte Stylus C70/C80/C82/CX5200/CX5400  schwarz 2 0.06  54.45 50.6  http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T03214010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH  Tinte Epson T032140 schwarz, 1240 Seiten, zu Stylus C70/C80/C82/CX5200/CX5400   C13T03214010  Epson 7.6 77  12  07.07.06  Büromaterial/-bedarf  Drucker/Papier/Folien Drucker Verbrauchsmat.  Tinte 8715946355283 sofort  Nein  57.7
