Artikelnummer 2	Artikelnummer	Bezeichung	Bezeichung 2	Lagerbestand	Gewicht	Preis (inkl. MWSt)	Preis (exkl. MWSt)	WWW-Link	Webtext	Webtext 2	Herstellernummer	Hersteller	MWST Satz	Endkundenpreis	Garantie (Monate)	Erfassungsdatum	Kategorie 1	Kategorie 2	Kategorie 3	Kategorie	EAN-Code	Lieferdatum	Ausverkaufsartikel	Discountpreis
106789	PH PBX TELC HOTEL PRO 12	TELCEN Blue's Hotel Pro	12 extensions	0	0.5	443	410.19	http://www.imagicle.com	TELCEN Blue's Hotel Pro	12 extensions	IM004-12L	Telcen	8	639	12	15.07.10				Telefonie Zubehör		unbekannt	Nein	591
106788	PH PBX TELC VOICE MEMORY	TELCEN Blue's Voice Memory		12	0.64	201.1	186.2	http://www.imagicle.com	TELCEN Blue's Voice Memory		T-008-100-VM	Telcen	8	299	12	10.09.09	Telekommunikation	Festnetz (Analog)	Gesprächsaufzeichnung	Telefonie Zubehör		sofort	Nein	268.55
106791	PH PBX TELC HOTEL PRO 48	TELCEN Blue's Hotel Pro	48 extensions	0	0.15	892	825.93	http://www.imagicle.com	TELCEN Blue's Hotel Pro	48 extensions	T-001-702-H48	Telcen	8	1289	12	21.01.10				Telefonie Zubehör		unbekannt	Nein	1190
